id,group,consumer,media,target_quantity,required_metadata,label_trust,independence,geo_language,rights_minimum,storage_class,candidate_sources,state,blocked_reason,resources_note,why
REQ-CAP-11,C_identity_references,Eval capability person_identity,controlled person reference images + generated output,>=32 images = 8 identities x >=4 views,"identity id, view/pose/lighting condition, capture date, written consent record",known-match/known-nonmatch by construction; similarity is NOT exactness and needs human adjudication,identity-level: an identity in calibration must not appear in qualification,should include South Asian faces; skin-tone and age spread recorded,explicit written consent for internal evaluation use; biometric-data implications documented,B,PACK-PERSON-REF,missing,,"HIGHEST-RISK ROW IN THE MATRIX. Consent and biometric exposure make this the one pack that must never be filled opportunistically. 19 images of what appears to be a single identity are recoverable from media-factory history, but I could not establish a consent record for them in this session, so they are recorded as a candidate needing rights confirmation, NOT as supply.",Identity consistency is a core commercial requirement (the same spokesperson across a campaign) and cannot be measured without controlled references.
REQ-CAP-12,C_identity_references,Eval capability product_identity,controlled product reference images + generated output,>=48 images = 12 products x >=4 views,"product id, view/angle, lighting, scale reference, ownership record",known-match/known-nonmatch by construction,product_level,target >=50% Indian-market products,first-party ownership or explicit permission,B,PACK-PRODUCT-REF,missing,,,"The single most commercially load-bearing capability: if the generated product is not the customer's product, nothing else about the asset matters."
REQ-CAP-13,C_identity_references,Eval capability reference_conditioning,both reference packs + generated output,reuses PACK-PRODUCT-REF and PACK-PERSON-REF,which reference images were supplied to the model; conditioning mode,human or qualified VLM adjudication,identity and product level,inherits_from_packs,inherits_from_packs,B,PACK-PRODUCT-REF; PACK-PERSON-REF,missing,,,Measures whether the model actually used the reference it was given. Needs no new media beyond the two packs.
REQ-CAP-14,C_identity_references,Eval capability edit_preservation,both reference packs + controlled edit pairs,reuses PACK-PRODUCT-REF and PACK-PERSON-REF,"before/after pair, declared edit instruction, declared must-not-change regions",deterministically_validated,identity and product level,inherits_from_packs,inherits_from_packs,B,PACK-PRODUCT-REF; PACK-PERSON-REF,missing,,,"Editing is where the money is in production reuse. Preservation is checkable against a declared unchanged region, so it is cheap once the packs exist."
REQ-CAP-15,D_realism,Eval capability anatomy_hands,generated image/video,constructed_by_eval,declared hand-involving action; observation unit = frame or image,human adjudication; no deterministic checker exists,item_level,n/a,none_external,none,,constructed_by_eval,,"Instrument qualification for this needs known-defect examples. Those come from Eval's own generations once E7 runs, not from an acquisition.",Classic generator failure mode; the stimulus is the generator's own output.
REQ-CAP-16,D_realism,Eval capability human_object_contact,generated image/video,constructed_by_eval,declared contact/grip relationship,human_adjudication,item_level,n/a,none_external,none,,constructed_by_eval,,,Person-holding-product is the commonest commercial shot and the commonest physical failure. Stimulus is Eval-generated.
REQ-CAP-17,D_realism,Eval capability human_human_interaction,generated image/video,constructed_by_eval,declared interaction,human_adjudication,item_level,n/a,none_external,none,,constructed_by_eval,,,Same pattern as 15/16.
REQ-CAP-18,D_realism,Eval capability motion_action_quality,generated video; real and generated video for instrument development,instrument development only: existing pools,per-clip motion/dynamic-degree scores where available,"VideoFeedback dynamic-degree scores are the distributor's human ratings — observations, not our truth",source lineage: single distributor per pool,unstated; assume Anglosphere-weighted,apache-2.0 asserted by publisher; internal evaluation only,A,src_videofeedback; src_konvid1k; src_videogen_rewardbench,partial,,"Useful for DEVELOPING a motion evaluator, not for qualifying one against current models: ImageRewardDB is DiffusionDB-era and VideoFeedback does not even name its generators. Generator era is a real limitation, not a caveat to wave through.",This is the one realism capability where existing material genuinely helps.
REQ-CAP-19,D_realism,Eval capability physics_material_appearance,generated image/video,constructed_by_eval,declared material/physical condition,human_adjudication,item_level,n/a,none_external,none,,constructed_by_eval,,,Stimulus is Eval-generated; no reference corpus would establish what 'correct' looks like for an invented scene.
REQ-CAP-20,E_temporal,Eval capability person_stability_in_clip,generated video + person references,reuses PACK-PERSON-REF,reference identity; sampled-frame observation rule,human_or_qualified_VLM,identity_level,inherits_from_pack,inherits_from_pack,B,PACK-PERSON-REF,missing,,"OBSERVATION-UNIT RULE: frames sampled from one clip are ONE trial, not many. Resources records this because a manifest that lists frames as items would silently inflate every count downstream.","Face drift within a single clip is a known, recorded failure in this project's own legacy evidence (see LEGACY-MF-SCORES)."
REQ-CAP-21,E_temporal,Eval capability product_stability_in_clip,generated video + product references,reuses PACK-PRODUCT-REF,reference product; sampled-frame observation rule,human_or_qualified_VLM,product_level,inherits_from_pack,inherits_from_pack,B,PACK-PRODUCT-REF,missing,,,"Same as 20, for the object rather than the person."
REQ-CAP-22,E_temporal,Eval capability text_logo_stability_in_clip,generated video + mark references,reuses PACK-PRODUCT-REF logo subset; Devanagari-in-video has no reference pool,reference mark; target string; per-sampled-frame reading,deterministically_validated_for_strings,brand_level,Latin + Devanagari,inherits_from_pack,B,PACK-PRODUCT-REF,missing,,"THE SHARPEST GAP IN THE PROJECT. Text that drifts within a single clip is the named commercial failure mode, and the corpus contains no generated Devanagari at all. No acquisition fixes this — only paid generation produces it. Recorded so nobody tries to buy their way out.",Reading real signage (REQ-CAP-07) does not test this and must not be reported as if it did.
REQ-CAP-23,E_temporal,Eval capability multi_shot_spatial_continuity,generated multi-shot video; clean base clips for instrument perturbation,instrument only: perturbation base clips,shot boundaries; declared continuity constraints,deterministic for introduced perturbations; human for natural cases,clip and source lineage,n/a,internal evaluation only,A,PACK-TEMPORAL-PERTURB-BASE,partial,,"Existing clips can host a KNOWN introduced discontinuity, which is enough to qualify a temporal instrument. They cannot represent multi-shot branded advertising, which needs PACK-COMMERCIAL.",Splits cleanly into an instrument need (covered) and a content need (missing).
REQ-CAP-24,F_speech_audio,Eval capability spoken_language_correctness,AV clips with trustworthy transcripts,covered by PACK-AV-CLEAN (36 clips),verbatim transcript; language/code-switching marking,"transcript must be verified, not distributor-asserted",speaker_level,English / Hindi / Hinglish,voice and identity permissions recorded SEPARATELY from media rights,B,PACK-AV-CLEAN,missing,,Corpus audio holdings: zero. Not low — zero.,Hinglish code-switching is a first-product requirement and no public pack we have reviewed covers it with verified transcripts.
REQ-CAP-25,F_speech_audio,Eval capability single_speaker_lip_sync,24 single-speaker clips + generated/processed output,covered by PACK-AV-CLEAN (24 of 36),transcript; frame-accurate audio alignment; known synthetic offsets for calibration,deterministic for introduced offsets only,speaker_level,8 English / 8 Hindi / 8 Hinglish planning balance,voice/identity permission,B,PACK-AV-CLEAN,missing,,Eval's own instruction stands: never invent a millisecond tolerance without evidence. Resources supplies the clips and the known offsets; the tolerance is Eval's to derive.,Lip-sync is a whole product lane (dedicated lip-sync/digital-human endpoints) with no material behind it.
REQ-CAP-26,F_speech_audio,Eval capability two_speaker_turn_assignment_and_lip_sync,12 two-speaker clips + generated/processed output,covered by PACK-AV-CLEAN (12 of 36),transcript PLUS turn boundaries with speaker attribution,turn boundaries must be verified; a swapped-channel control is deterministic,speaker-pair level,4 English / 4 Hindi / 4 Hinglish planning balance,voice/identity permission for BOTH speakers,B,PACK-AV-CLEAN,missing,,,"The hardest AV row: turn boundaries are extra annotation that almost no public source ships, and both speakers need permission."
REQ-CAP-27,F_speech_audio,Eval capability emotional_prosodic_fit,AV clips with controlled prosody variants,derived from PACK-AV-CLEAN,declared intended register; controlled variants where feasible,human adjudication; Resources must NOT author emotional labels,speaker_level,English / Hindi / Hinglish,voice/identity permission,B,PACK-AV-CLEAN,missing,,Explicit boundary: judging whether prosody fits an intent is creative/perceptual judgement. Resources supplies the recordings and the declared conditions only.,Depends entirely on the AV pack existing first.
REQ-CAP-28,F_speech_audio,Eval capability audio_video_synchronisation,AV clips with deterministic introduced offsets,derived from PACK-AV-CLEAN,exact introduced offset in milliseconds; original alignment,deterministically_validated,clip_level,n/a,inherits_from_pack,B,PACK-AV-CLEAN,missing,,"The one speech row with a fully deterministic ground truth — shift the audio by a known amount and you know the answer exactly. It is still blocked, because there is nothing to shift.","Cheapest speech capability to measure, and completely blocked by the same empty category."
REQ-CAP-29,G_commercial_creative,Eval capability proposition_objective_fit; Canon C10,real commercial creative assets,60 active of PACK-COMMERCIAL,"category, market/language, media type, duration, platform; NO quality label from Resources","fresh independent human review, run later by Eval. Public/source preference labels are NOT our creative truth.",brand and campaign level; 20 reserve frozen before any tuning,"target >=50% Indian-market, >=6 commercial categories","explicit licence, creator/brand permission, or first-party. Ad creative is dense third-party IP.",B,PACK-COMMERCIAL,missing,,"Pitt Ads (the obvious public candidate) is blocked on an email/manual-approval gate; AVA is blocked on explicit site terms. Neither blocker is licence silence, so neither is waivable under current policy.",Both Eval's creative evaluator and Canon's value-gate experiment depend on this one bank. It is the highest-leverage missing pack.
REQ-CAP-30,G_commercial_creative,Eval capability hierarchy_product_as_hero; Canon C10,real commercial creative (static-weighted),shares the 60 active assets,as_REQ-CAP-29,as_REQ-CAP-29,brand_and_campaign_level,as_REQ-CAP-29,as_REQ-CAP-29,B,PACK-COMMERCIAL,missing,,,"Same bank; a separate measurement, not a separate acquisition."
REQ-CAP-31,G_commercial_creative,Eval capability composition_brand_register; Canon C10,real commercial creative (static-weighted),shares the 60 active assets,as_REQ-CAP-29,as_REQ-CAP-29,brand_and_campaign_level,as_REQ-CAP-29,as_REQ-CAP-29,B,PACK-COMMERCIAL,missing,,,Same bank.
REQ-CAP-32,G_commercial_creative,Eval capability hook_pacing_temporal_hierarchy; Canon C10,real commercial creative (the 40 video assets),shares the video half of the 60 active assets,as REQ-CAP-29 plus duration and platform cut,as_REQ-CAP-29,brand_and_campaign_level,as_REQ-CAP-29,as_REQ-CAP-29,B,PACK-COMMERCIAL,missing,,"Video ad creative is the hardest half of this bank to licence. If only the static half is obtainable, say so and measure 29-31 rather than pretending 32 is covered.",Same bank; the video-specific measurement.
REQ-CAP-33,H_operational,Eval capability reliability_pass_at_k,none — repeated Eval generations,no_external_resource,"attempt id, repeat index, per-attempt outcome",derived_from_other_measurements,n/a,n/a,none_external,C,,no_external_resource,,"No media to acquire, but it DOES create a Resources obligation: every repeat is an irreproducible output that must be archived under storage class C, or pass-at-k cannot be recomputed later.",Reliability is measured over the project's own attempts.
REQ-CAP-34,H_operational,Eval capability cost_and_cpao,none,no_external_resource,per-attempt cost reference; accepted/not-accepted outcome,deterministic_from_billing,n/a,n/a,none_external,C,,no_external_resource,,"Cost per Accepted Outcome is the project's primary metric, and it is only recomputable if BOTH the cost reference and the accept/reject outcome survive next to the output bytes. That is a storage-schema requirement, and it is met by EMPIRICAL-ARTIFACT-MANIFEST-SCHEMA.yaml.",The metric the whole product optimises. Needs no media and total archive discipline.
REQ-CAP-35,H_operational,Eval capability latency_errors_refusals,none,no_external_resource,"API status, error code, refusal text, latency",deterministic_from_api,n/a,n/a,none_external,C,,no_external_resource,,A refusal produces NO output bytes but is still evidence. The archive schema therefore allows a record with a null output hash and a populated api_status — otherwise refusals would vanish from the record and reliability would be overstated.,Refusals and errors are part of what a workflow costs.
REQ-CAP-36,H_operational,Eval capability reproducibility_repairability,none,no_external_resource,seed/settings where exposed; version pin; repair attempt chain,deterministic_where_seeds_exposed,n/a,n/a,none_external,C,,no_external_resource,,"This row is effectively a test of Resources' own archive. If provenance is incomplete, this capability becomes unmeasurable regardless of the model.",Repairability is what turns a failed generation into a cheap retry instead of a lost job.
REQ-INS-01,instrument_family,Evaluator family 1 — text/OCR,real photographed Devanagari + rendered exactness batteries,Devanagari: existing pools + frozen 96-item battery. Latin: pack to be constructed.,transcription per item; known match/mismatch label by construction,battery labels are deterministic by construction; source transcriptions are observations,source lineage — CVIT pair is one lineage; calibration and qualification pools must not share base words or parent photographs,Devanagari + Latin,internal evaluation only,A,PACK-DEVA-READ; PACK-DEVA-GEN; PACK-LATIN-TEXT,available,,THE ONLY EVALUATOR FAMILY WITH SUFFICIENT MATERIAL TODAY. Everything else is partial or blocked.,"Reading and exactness are the two abilities this family needs, and both have material."
REQ-INS-02,instrument_family,Evaluator family 2 — deterministic/CV geometry,synthetic known-answer fixtures,>=100 fixtures,generated ground truth per fixture; unsupported-parse negative controls,deterministically_validated,fixture-level; no external lineage,n/a,none_external,none,PACK-CV-FIXTURES,constructed_by_eval,,Resources supplies nothing and should not be asked to. Recorded so this family is not mistaken for a gap.,Deterministic truth removes the need for both humans and acquisition.
REQ-INS-03,instrument_family,Evaluator family 3 — structured visual VLM,controlled product and person reference packs,">=48 product + >=32 person references, with known-match, known-nonmatch and controlled edit cases",identity/product id; match label by construction; adjudication protocol for similarity,match/nonmatch deterministic; degree of similarity is NOT and needs human adjudication,identity and product level between calibration and qualification,South Asian representation required for person pack,consent (person) / ownership (product),B,PACK-PERSON-REF; PACK-PRODUCT-REF,blocked,Both reference packs are missing and acquiring either requires Controller-approved capture or sourcing strategy. Person capture additionally requires consent that only a human can obtain.,,This family qualifies the instrument behind 8 capability rows. It is the biggest single unlock in the matrix.
REQ-INS-04,instrument_family,Evaluator family 4 — temporal/video,clean base clips + deterministic perturbations; identity/text drift cases,perturbation base: existing clips. Drift cases: need reference packs.,introduced perturbation type and magnitude; clip-level observation rule,deterministic for introduced perturbations only,clip and source lineage,unstated,internal evaluation only,A,PACK-TEMPORAL-PERTURB-BASE; PACK-PERSON-REF; PACK-PRODUCT-REF,partial,,"Partially unblockable TONIGHT in design terms: discontinuity, text-instability and continuity perturbations can be built on clips we already hold. Identity-swap/drift cases cannot, because they need the person pack.",The only blocked family with a genuine partial path forward using existing material.
REQ-INS-05,instrument_family,Evaluator family 5 — speech/audio/AV,clean AV clips with transcripts and turn boundaries,24 single + 12 two-speaker,"transcripts, turn boundaries, known audio offsets, controlled prosody variants",deterministic for introduced perturbations; verified transcripts otherwise,speaker_level,English / Hindi / Hinglish,"media rights AND voice/identity permission, recorded separately",B,PACK-AV-CLEAN,blocked,"The corpus contains no audio whatsoever. Nothing can be perturbed, calibrated or qualified until PACK-AV-CLEAN exists.",,"Hardest blocked family: it needs new recording or permissioned material, plus transcript and turn annotation."
REQ-INS-06,instrument_family,Evaluator family 6 — creative/commercial,60 active commercial creative assets,60 active of PACK-COMMERCIAL,descriptive axes only from Resources; creative judgement supplied later by independent human review,public/source preference labels are explicitly NOT our creative truth,brand and campaign level; 20-asset reserve frozen before any tuning,">=50% Indian-market, >=6 categories",explicit licence / permission / first-party,B,PACK-COMMERCIAL,blocked,No commercial creative bank exists; the two public candidates are blocked on an access gate and on explicit site terms respectively.,,"Shared with Canon C10. Also the family with the strongest circularity risk, which is why Resources must supply the assets and never the quality labels."
REQ-CAN-01,canon,Canon C2 — 30-brief commercial-intent bank,none (text briefs),no_external_resource,n/a,n/a,n/a,10 English / 10 Hindi-Devanagari / 10 Hinglish,none_external,none,,no_external_resource,,,Briefs are written by Canon. Recorded explicitly so no acquisition is proposed against it.
REQ-CAN-02,canon,Canon C9 — planning/consumption Experiment A,"none (text in, text out)",no_external_resource,n/a,n/a,n/a,n/a,none_external,C,,no_external_resource,,"No media, but ~200 model outputs. If those outputs are ever to be re-analysed, they are class C and belong in the empirical archive.","Planning lift is measured on text artefacts, not media."
REQ-CAN-03,canon,Canon C10 — creative-evaluation Experiment B,real commercial creative,the SAME 60 active assets as REQ-INS-06,descriptive_axes_only,"independent human review, not Resources labels, not source labels",brand_and_campaign_level,>=50% Indian-market,explicit_permission,B,PACK-COMMERCIAL,missing,,EXPLICIT ANTI-DUPLICATION ROW. Canon C10 and Eval E3 family 6 must consume one bank. Two banks would double the cost and make the two results non-comparable.,Canon's value-gate experiment and Eval's creative evaluator ask different questions of identical material.
REQ-EVL-01,eval_programme,Eval E4 — 100-base-item reusable benchmark bank,"mixed; mostly Eval-constructed, plus reference packs for compound items",40 atomic + 60 compound = 100 base items,per-item measurement fan-out list,mixed,base items must not be reused as repeats,"mixed, incl. Devanagari and Hinglish",inherits_from_packs,B,PACK-PRODUCT-REF; PACK-PERSON-REF; PACK-AV-CLEAN; PACK-CV-FIXTURES; PACK-DEVA-GEN,partial,,"Of the 10 compound scenario families, 6 require a reference or AV pack that does not exist (packshot, person+product, reference edit, actor+product, one speaker, two-speaker dialogue). Those items can be DESIGNED tonight but cannot be RUN.","Tells the Controller exactly how much of the benchmark bank is executable today, which is roughly the atomic half."
REQ-EVL-02,eval_programme,Eval E9 — 12-brief end-to-end production benchmark,Canon briefs + reference packs + commercial reserve for comparison,12 briefs x <=4 recipes x 2 attempts = <=96 trials,full provenance per trial; accept/reject; retry chain; cost,human_acceptance_judgement,"briefs from Canon's bank, not authored by Eval",inherits_from_canon_bank,inherits_from_packs,C,PACK-PRODUCT-REF; PACK-PERSON-REF; PACK-COMMERCIAL,missing,,"This is where Cost per Accepted Outcome first becomes measurable. It is blocked on every missing pack at once, which is why R4's routes matter more than any other overnight output.",The end-to-end run the whole programme builds towards.
REQ-REG-01,regression,Regression and production-failure retention (R8),irreproducible model outputs from Eval runs and production failures,">=1,000 outputs supported without schema redesign","trial id, item id, provider/model/version/endpoint, prompt/config hashes, seed, timestamps, output hash, cost refs, api status, evaluator refs",Resources stores evidence; Eval owns interpretation. Resources never decides the failure label.,regression items must be traceable to the exact conditions that produced them,n/a,project-owned outputs; third-party reference material inside them inherits its pack rights,C,LEGACY-MF-SCORES,partial,,"The one legacy pool with real recovered evidence: 64 human pass/fail judgements with notes, plus 129 cost lines, recovered from git history tonight. The 64 IMAGES themselves are not in git and are metadata_only.",A production failure that is not preserved with its exact conditions cannot become a regression test.
